NAMESPACE           LAST SEEN   TYPE      REASON               OBJECT                                                            MESSAGE
gatekeeper-system   50m         Normal    SuccessfulCreate     replicaset/gatekeeper-controller-manager-666994bb4f               Created pod: gatekeeper-controller-manager-666994bb4f-z87bh
gatekeeper-system   50m         Normal    Created              pod/gatekeeper-controller-manager-666994bb4f-z87bh                Created container: manager
gatekeeper-system   50m         Normal    Pulled               pod/gatekeeper-controller-manager-666994bb4f-z87bh                Successfully pulled image "openpolicyagent/gatekeeper:v3.15.1" in 165ms (165ms including waiting)
gatekeeper-system   50m         Normal    Pulling              pod/gatekeeper-controller-manager-666994bb4f-z87bh                Pulling image "openpolicyagent/gatekeeper:v3.15.1"
gatekeeper-system   50m         Normal    Scheduled            pod/gatekeeper-controller-manager-666994bb4f-z87bh                Successfully assigned gatekeeper-system/gatekeeper-controller-manager-666994bb4f-z87bh to ip-10-0-2-180.ec2.internal
gatekeeper-system   50m         Normal    Scheduled            pod/gatekeeper-controller-manager-666994bb4f-st6jj                Successfully assigned gatekeeper-system/gatekeeper-controller-manager-666994bb4f-st6jj to ip-10-0-2-180.ec2.internal
gatekeeper-system   50m         Normal    ScalingReplicaSet    deployment/gatekeeper-controller-manager                          Scaled up replica set gatekeeper-controller-manager-666994bb4f to 3 from 2
gatekeeper-system   50m         Normal    ScalingReplicaSet    deployment/gatekeeper-controller-manager                          Scaled down replica set gatekeeper-controller-manager-648f896c99 to 1 from 2
gatekeeper-system   50m         Normal    SuccessfulCreate     replicaset/gatekeeper-controller-manager-666994bb4f               Created pod: gatekeeper-controller-manager-666994bb4f-st6jj
gatekeeper-system   50m         Normal    Killing              pod/gatekeeper-controller-manager-648f896c99-ltxt4                Stopping container manager
gatekeeper-system   50m         Normal    SuccessfulDelete     replicaset/gatekeeper-controller-manager-648f896c99               Deleted pod: gatekeeper-controller-manager-648f896c99-ltxt4
gatekeeper-system   50m         Normal    Pulled               pod/gatekeeper-controller-manager-666994bb4f-st6jj                Successfully pulled image "openpolicyagent/gatekeeper:v3.15.1" in 150ms (150ms including waiting)
gatekeeper-system   50m         Normal    Pulling              pod/gatekeeper-controller-manager-666994bb4f-st6jj                Pulling image "openpolicyagent/gatekeeper:v3.15.1"
gatekeeper-system   50m         Normal    Started              pod/gatekeeper-controller-manager-666994bb4f-st6jj                Started container manager
gatekeeper-system   50m         Normal    Created              pod/gatekeeper-controller-manager-666994bb4f-st6jj                Created container: manager
gatekeeper-system   50m         Normal    SuccessfulDelete     replicaset/gatekeeper-controller-manager-648f896c99               Deleted pod: gatekeeper-controller-manager-648f896c99-845b6
gatekeeper-system   50m         Normal    Killing              pod/gatekeeper-controller-manager-648f896c99-845b6                Stopping container manager
gatekeeper-system   50m         Normal    ScalingReplicaSet    deployment/gatekeeper-controller-manager                          Scaled down replica set gatekeeper-controller-manager-648f896c99 to 0 from 1
argocd              50m         Normal    SuccessfulCreate     replicaset/argocd-applicationset-controller-684459d45b            Created pod: argocd-applicationset-controller-684459d45b-rxhcp
argocd              50m         Normal    ScalingReplicaSet    deployment/argocd-applicationset-controller                       Scaled up replica set argocd-applicationset-controller-684459d45b to 1
argocd              50m         Normal    ScalingReplicaSet    deployment/argocd-repo-server                                     Scaled up replica set argocd-repo-server-66ccd878 to 1
argocd              50m         Normal    Scheduled            pod/argocd-redis-6664bd4d8c-64lbr                                 Successfully assigned argocd/argocd-redis-6664bd4d8c-64lbr to ip-10-0-1-224.ec2.internal
argocd              50m         Normal    Scheduled            pod/argocd-notifications-controller-b48df5667-vnzdj               Successfully assigned argocd/argocd-notifications-controller-b48df5667-vnzdj to ip-10-0-2-180.ec2.internal
argocd              50m         Normal    ScalingReplicaSet    deployment/argocd-server                                          Scaled up replica set argocd-server-85c666f59b to 1
argocd              50m         Normal    ScalingReplicaSet    deployment/argocd-dex-server                                      Scaled up replica set argocd-dex-server-796965b6dd to 1
argocd              50m         Normal    SuccessfulCreate     replicaset/argocd-dex-server-796965b6dd                           Created pod: argocd-dex-server-796965b6dd-9nwv5
argocd              50m         Normal    SuccessfulCreate     replicaset/argocd-repo-server-66ccd878                            Created pod: argocd-repo-server-66ccd878-j6rr2
argocd              50m         Normal    Pulling              pod/argocd-dex-server-796965b6dd-9nwv5                            Pulling image "quay.io/argoproj/argocd:v3.3.2"
argocd              50m         Normal    Pulling              pod/argocd-notifications-controller-b48df5667-vnzdj               Pulling image "quay.io/argoproj/argocd:v3.3.2"
argocd              50m         Normal    Scheduled            pod/argocd-repo-server-66ccd878-j6rr2                             Successfully assigned argocd/argocd-repo-server-66ccd878-j6rr2 to ip-10-0-2-180.ec2.internal
argocd              50m         Normal    Scheduled            pod/argocd-applicationset-controller-684459d45b-rxhcp             Successfully assigned argocd/argocd-applicationset-controller-684459d45b-rxhcp to ip-10-0-1-224.ec2.internal
argocd              50m         Normal    ScalingReplicaSet    deployment/argocd-redis                                           Scaled up replica set argocd-redis-6664bd4d8c to 1
argocd              50m         Normal    ScalingReplicaSet    deployment/argocd-notifications-controller                        Scaled up replica set argocd-notifications-controller-b48df5667 to 1
argocd              50m         Normal    SuccessfulCreate     replicaset/argocd-notifications-controller-b48df5667              Created pod: argocd-notifications-controller-b48df5667-vnzdj
argocd              50m         Normal    SuccessfulCreate     replicaset/argocd-redis-6664bd4d8c                                Created pod: argocd-redis-6664bd4d8c-64lbr
argocd              50m         Normal    Scheduled            pod/argocd-dex-server-796965b6dd-9nwv5                            Successfully assigned argocd/argocd-dex-server-796965b6dd-9nwv5 to ip-10-0-1-224.ec2.internal
argocd              50m         Normal    Pulling              pod/argocd-redis-6664bd4d8c-64lbr                                 Pulling image "quay.io/argoproj/argocd:v3.3.2"
argocd              50m         Normal    Scheduled            pod/argocd-application-controller-0                               Successfully assigned argocd/argocd-application-controller-0 to ip-10-0-2-180.ec2.internal
argocd              50m         Normal    SuccessfulCreate     replicaset/argocd-server-85c666f59b                               Created pod: argocd-server-85c666f59b-hdr94
argocd              48m         Normal    Pulling              pod/argocd-applicationset-controller-684459d45b-rxhcp             Pulling image "quay.io/argoproj/argocd:v3.3.2"
argocd              50m         Normal    SuccessfulCreate     statefulset/argocd-application-controller                         create Pod argocd-application-controller-0 in StatefulSet argocd-application-controller successful
argocd              50m         Normal    Pulling              pod/argocd-repo-server-66ccd878-j6rr2                             Pulling image "quay.io/argoproj/argocd:v3.3.2"
argocd              50m         Normal    Scheduled            pod/argocd-server-85c666f59b-hdr94                                Successfully assigned argocd/argocd-server-85c666f59b-hdr94 to ip-10-0-1-224.ec2.internal
argocd              50m         Normal    Pulling              pod/argocd-server-85c666f59b-hdr94                                Pulling image "quay.io/argoproj/argocd:v3.3.2"
argocd              50m         Normal    Pulling              pod/argocd-application-controller-0                               Pulling image "quay.io/argoproj/argocd:v3.3.2"
argocd              50m         Normal    Created              pod/argocd-repo-server-66ccd878-j6rr2                             Created container: copyutil
argocd              50m         Normal    Pulled               pod/argocd-repo-server-66ccd878-j6rr2                             Successfully pulled image "quay.io/argoproj/argocd:v3.3.2" in 6.522s (6.523s including waiting)
argocd              50m         Normal    Pulled               pod/argocd-notifications-controller-b48df5667-vnzdj               Successfully pulled image "quay.io/argoproj/argocd:v3.3.2" in 6.894s (6.894s including waiting)
argocd              50m         Warning   Failed               pod/argocd-application-controller-0                               Error: secret "argocd-redis" not found
argocd              50m         Normal    Pulled               pod/argocd-application-controller-0                               Successfully pulled image "quay.io/argoproj/argocd:v3.3.2" in 5.523s (5.523s including waiting)
argocd              50m         Normal    Created              pod/argocd-notifications-controller-b48df5667-vnzdj               Created container: argocd-notifications-controller
argocd              50m         Normal    Pulled               pod/argocd-applicationset-controller-684459d45b-rxhcp             Successfully pulled image "quay.io/argoproj/argocd:v3.3.2" in 6.899s (6.899s including waiting)
argocd              50m         Normal    Created              pod/argocd-redis-6664bd4d8c-64lbr                                 Created container: secret-init
argocd              50m         Normal    Pulled               pod/argocd-server-85c666f59b-hdr94                                Successfully pulled image "quay.io/argoproj/argocd:v3.3.2" in 6.364s (6.364s including waiting)
argocd              50m         Warning   Failed               pod/argocd-server-85c666f59b-hdr94                                Error: secret "argocd-redis" not found
argocd              50m         Normal    Pulled               pod/argocd-redis-6664bd4d8c-64lbr                                 Successfully pulled image "quay.io/argoproj/argocd:v3.3.2" in 7.092s (7.092s including waiting)
argocd              50m         Normal    Started              pod/argocd-repo-server-66ccd878-j6rr2                             Started container copyutil
argocd              50m         Normal    Started              pod/argocd-dex-server-796965b6dd-9nwv5                            Started container copyutil
argocd              50m         Normal    Created              pod/argocd-dex-server-796965b6dd-9nwv5                            Created container: copyutil
argocd              50m         Normal    Pulled               pod/argocd-dex-server-796965b6dd-9nwv5                            Successfully pulled image "quay.io/argoproj/argocd:v3.3.2" in 7.305s (7.305s including waiting)
argocd              48m         Normal    Started              pod/argocd-applicationset-controller-684459d45b-rxhcp             Started container argocd-applicationset-controller
