NAMESPACE           LAST SEEN   TYPE      REASON               OBJECT                                                            MESSAGE
monitoring          7m5s        Normal    Created              pod/prometheus-kps-kube-prometheus-stack-prometheus-0             Created container: init-config-reloader
monitoring          7m5s        Normal    Pulled               pod/prometheus-kps-kube-prometheus-stack-prometheus-0             Successfully pulled image "quay.io/prometheus-operator/prometheus-config-reloader:v0.89.0" in 999ms (999ms including waiting)
monitoring          7m5s        Normal    Pulled               pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0         Successfully pulled image "quay.io/prometheus-operator/prometheus-config-reloader:v0.89.0" in 1.13s (1.13s including waiting)
monitoring          7m5s        Normal    Created              pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0         Created container: init-config-reloader
monitoring          7m4s        Normal    Pulling              pod/prometheus-kps-kube-prometheus-stack-prometheus-0             Pulling image "quay.io/prometheus/prometheus:v3.10.0"
monitoring          7m4s        Normal    Pulling              pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0         Pulling image "quay.io/prometheus/alertmanager:v0.31.1"
monitoring          7m2s        Normal    Created              pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0         Created container: alertmanager
monitoring          7m2s        Normal    Pulled               pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0         Successfully pulled image "quay.io/prometheus/alertmanager:v0.31.1" in 2.288s (2.288s including waiting)
monitoring          7m1s        Normal    Created              pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0         Created container: config-reloader
monitoring          7m1s        Normal    Pulled               pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0         Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.89.0" already present on machine
monitoring          7m1s        Normal    Started              pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0         Started container alertmanager
monitoring          7m1s        Normal    Started              pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0         Started container config-reloader
monitoring          6m59s       Normal    Created              pod/prometheus-kps-kube-prometheus-stack-prometheus-0             Created container: prometheus
monitoring          6m59s       Normal    Pulled               pod/prometheus-kps-kube-prometheus-stack-prometheus-0             Successfully pulled image "quay.io/prometheus/prometheus:v3.10.0" in 5.146s (5.146s including waiting)
monitoring          6m59s       Normal    Created              pod/prometheus-kps-kube-prometheus-stack-prometheus-0             Created container: config-reloader
monitoring          6m59s       Normal    Pulled               pod/prometheus-kps-kube-prometheus-stack-prometheus-0             Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.89.0" already present on machine
monitoring          6m59s       Normal    Started              pod/prometheus-kps-kube-prometheus-stack-prometheus-0             Started container prometheus
monitoring          6m58s       Normal    Started              pod/prometheus-kps-kube-prometheus-stack-prometheus-0             Started container config-reloader
monitoring          6m49s       Normal    Started              pod/kps-grafana-9f56f7576-kc8z8                                   Started container grafana
monitoring          6m49s       Normal    Created              pod/kps-grafana-9f56f7576-kc8z8                                   Created container: grafana
monitoring          6m49s       Normal    Pulled               pod/kps-grafana-9f56f7576-kc8z8                                   Successfully pulled image "docker.io/grafana/grafana:12.4.0" in 16.538s (16.538s including waiting)
monitoring          6m46s       Warning   Unhealthy            pod/kps-grafana-9f56f7576-kc8z8                                   Readiness probe failed: Get "http://10.0.1.9:3000/api/health": dial tcp 10.0.1.9:3000: connect: connection refused
monitoring          6m35s       Normal    SuccessfulCreate     job/kps-kube-prometheus-stack-admission-patch                     Created pod: kps-kube-prometheus-stack-admission-patch-8nvsq
monitoring          6m35s       Normal    Pulled               pod/kps-kube-prometheus-stack-admission-patch-8nvsq               Container image "ghcr.io/jkroepke/kube-webhook-certgen:1.7.8" already present on machine
monitoring          6m35s       Normal    Created              pod/kps-kube-prometheus-stack-admission-patch-8nvsq               Created container: patch
monitoring          6m35s       Normal    Started              pod/kps-kube-prometheus-stack-admission-patch-8nvsq               Started container patch
monitoring          6m35s       Normal    Scheduled            pod/kps-kube-prometheus-stack-admission-patch-8nvsq               Successfully assigned monitoring/kps-kube-prometheus-stack-admission-patch-8nvsq to ip-10-0-1-224.ec2.internal
monitoring          6m32s       Normal    Completed            job/kps-kube-prometheus-stack-admission-patch                     Job completed
argocd              4m39s       Warning   OperationCompleted   application/firewall                                              Sync operation to cf912680ceb2758e51e09f2bcee8b56f8e79933e failed: one or more objects failed to apply, reason: admission webhook "validation.gatekeeper.sh" denied the request: [required-image-digest] Container image 641133458487.dkr.ecr.us-east-1.amazonaws.com/thesis-eac/firewall:1 must use digest (sha256:...), not tag (retried 5 times).
